Unique Key,Created Date,Complaint Type,Incident Zip,Borough,Latitude,Longitude,Location
36151177,05/09/2017 12:00:00 AM,Rodent,10035,MANHATTAN,40.79971387136929,-73.93021535678909,"(40.79971387136929, -73.93021535678909)"
36143161,05/09/2017 12:00:00 AM,Rodent,10016,MANHATTAN,40.74723422768976,-73.97768549704715,"(40.74723422768976, -73.97768549704715)"
36228432,05/20/2017 12:00:00 AM,Rodent,10029,MANHATTAN,40.78625226098017,-73.94250006874593,"(40.78625226098017, -73.94250006874593)"
33632386,06/19/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.7402054398457,-73.98053866752474,"(40.7402054398457, -73.98053866752474)"
33633945,06/19/2016 12:00:00 AM,Rodent,10013,MANHATTAN,40.71762828633646,-74.01002858837734,"(40.71762828633646, -74.01002858837734)"
33633971,06/19/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.7381027493206,-73.97933042933136,"(40.7381027493206, -73.97933042933136)"
33633980,06/19/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.73724978994035,-73.98340104615845,"(40.73724978994035, -73.98340104615845)"
33634203,06/19/2016 12:00:00 AM,Rodent,10001,MANHATTAN,40.75033794512198,-73.99851662818881,"(40.75033794512198, -73.99851662818881)"
36248426,05/23/2017 12:00:00 AM,Rodent,10031,MANHATTAN,40.822951647338016,-73.95397613211398,"(40.822951647338016, -73.95397613211398)"
33634739,06/19/2016 12:00:00 AM,Rodent,10029,MANHATTAN,40.79411991259857,-73.93957875121706,"(40.79411991259857, -73.93957875121706)"
33634774,06/19/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.82437799570825,-73.94559614965699,"(40.82437799570825, -73.94559614965699)"
33635227,06/19/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.77708725478846,-73.95397533593045,"(40.77708725478846, -73.95397533593045)"
33635371,06/19/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.799915496037656,-73.962375199232,"(40.799915496037656, -73.962375199232)"
33635398,06/19/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.79194413759098,-73.96940032998043,"(40.79194413759098, -73.96940032998043)"
33635399,06/19/2016 12:00:00 AM,Rodent,10012,MANHATTAN,40.72301661911086,-73.99610368664615,"(40.72301661911086, -73.99610368664615)"
33635632,06/19/2016 12:00:00 AM,Rodent,10001,MANHATTAN,40.750241879952384,-73.99859603211085,"(40.750241879952384, -73.99859603211085)"
33636162,06/19/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.80297372982946,-73.96428784724797,"(40.80297372982946, -73.96428784724797)"
33636981,06/19/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86368114459058,-73.92017715336455,"(40.86368114459058, -73.92017715336455)"
33637013,06/19/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.789716042912154,-73.97186065755086,"(40.789716042912154, -73.97186065755086)"
33637015,06/19/2016 12:00:00 AM,Rodent,10009,MANHATTAN,40.72219717914684,-73.98099849049875,"(40.72219717914684, -73.98099849049875)"
33637636,06/19/2016 12:00:00 AM,Rodent,10029,MANHATTAN,40.79411991259857,-73.93957875121706,"(40.79411991259857, -73.93957875121706)"
33637740,06/19/2016 12:00:00 AM,Rodent,10019,MANHATTAN,40.76812032180824,-73.9861767707063,"(40.76812032180824, -73.9861767707063)"
33637813,06/19/2016 12:00:00 AM,Rodent,10001,MANHATTAN,40.7480259856951,-73.98567206388176,"(40.7480259856951, -73.98567206388176)"
33637938,06/19/2016 12:00:00 AM,Rodent,10014,MANHATTAN,40.735730281473025,-74.00506978221362,"(40.735730281473025, -74.00506978221362)"
33637939,06/19/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.773977917351836,-73.9485509651095,"(40.773977917351836, -73.9485509651095)"
33638354,06/19/2016 12:00:00 AM,Rodent,10003,MANHATTAN,40.7263070072079,-73.98784145892742,"(40.7263070072079, -73.98784145892742)"
33638550,06/19/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.782840560281926,-73.9721632711726,"(40.782840560281926, -73.9721632711726)"
33638555,06/19/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.777128464729245,-73.95407279444942,"(40.777128464729245, -73.95407279444942)"
33638556,06/19/2016 12:00:00 AM,Rodent,10016,MANHATTAN,40.74777338900753,-73.98504414554924,"(40.74777338900753, -73.98504414554924)"
33638640,06/19/2016 12:00:00 AM,Rodent,10032,MANHATTAN,40.84412315167366,-73.93947912008186,"(40.84412315167366, -73.93947912008186)"
33638641,06/19/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.73836087265372,-73.97999070996771,"(40.73836087265372, -73.97999070996771)"
33638689,06/19/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.79815130825676,-73.93842293736961,"(40.79815130825676, -73.93842293736961)"
33639270,06/19/2016 12:00:00 AM,Rodent,10009,MANHATTAN,,,
33639302,06/19/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78123194463493,-73.94785568731834,"(40.78123194463493, -73.94785568731834)"
33640079,06/20/2016 12:00:00 AM,Rodent,10036,MANHATTAN,40.76396819903849,-73.99395700099811,"(40.76396819903849, -73.99395700099811)"
33640198,06/20/2016 12:00:00 AM,Rodent,10033,MANHATTAN,40.84652514649546,-73.93512158644499,"(40.84652514649546, -73.93512158644499)"
33640206,06/20/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.76878933328586,-73.9525550502961,"(40.76878933328586, -73.9525550502961)"
33641082,06/20/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.78273464724399,-73.97732695015047,"(40.78273464724399, -73.97732695015047)"
33641337,06/20/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78339998692637,-73.94720040387674,"(40.78339998692637, -73.94720040387674)"
33641366,06/20/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.82764776782164,-73.94735318799134,"(40.82764776782164, -73.94735318799134)"
33641388,06/20/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.811142801721154,-73.95139054102174,"(40.811142801721154, -73.95139054102174)"
33642213,06/20/2016 12:00:00 AM,Rodent,10040,MANHATTAN,40.85439412473198,-73.93026281602748,"(40.85439412473198, -73.93026281602748)"
33642410,06/20/2016 12:00:00 AM,Rodent,10023,MANHATTAN,40.77929069076215,-73.98113384967594,"(40.77929069076215, -73.98113384967594)"
33642411,06/20/2016 12:00:00 AM,Rodent,10002,MANHATTAN,40.710558069021054,-73.99414219423629,"(40.710558069021054, -73.99414219423629)"
33642485,06/20/2016 12:00:00 AM,Rodent,10039,MANHATTAN,40.820533288941945,-73.93614411094367,"(40.820533288941945, -73.93614411094367)"
33643534,06/20/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.75116885401731,-73.98677580990558,"(40.75116885401731, -73.98677580990558)"
33643553,06/20/2016 12:00:00 AM,Rodent,10037,MANHATTAN,40.80781631266624,-73.93492451893235,"(40.80781631266624, -73.93492451893235)"
33643612,06/20/2016 12:00:00 AM,Rodent,10038,MANHATTAN,40.70882077853836,-73.99896841823647,"(40.70882077853836, -73.99896841823647)"
33643628,06/20/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.75116885401731,-73.98677580990558,"(40.75116885401731, -73.98677580990558)"
33644536,06/20/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.78273464724399,-73.97732695015047,"(40.78273464724399, -73.97732695015047)"
33644657,06/20/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.781187992910546,-73.94777628303824,"(40.781187992910546, -73.94777628303824)"
33644666,06/20/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.751171402710824,-73.98516609622794,"(40.751171402710824, -73.98516609622794)"
33644750,06/20/2016 12:00:00 AM,Rodent,10033,MANHATTAN,40.848246153459016,-73.9352572584962,"(40.848246153459016, -73.9352572584962)"
33644751,06/20/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.73836087265372,-73.97999070996771,"(40.73836087265372, -73.97999070996771)"
33644760,06/20/2016 12:00:00 AM,Rodent,10026,MANHATTAN,40.80253327934972,-73.95302584375533,"(40.80253327934972, -73.95302584375533)"
33645758,06/20/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86368114459058,-73.92017715336455,"(40.86368114459058, -73.92017715336455)"
33645905,06/20/2016 12:00:00 AM,Rodent,10030,MANHATTAN,40.82255543432279,-73.94544950283145,"(40.82255543432279, -73.94544950283145)"
33645921,06/20/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86381074232182,-73.9210446786695,"(40.86381074232182, -73.9210446786695)"
33646154,06/20/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.79048856983218,-73.97759516104026,"(40.79048856983218, -73.97759516104026)"
33646290,06/20/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86363485615833,-73.92071589270232,"(40.86363485615833, -73.92071589270232)"
33646987,06/21/2016 12:00:00 AM,Rodent,10013,MANHATTAN,40.71769129181156,-74.01136333930609,"(40.71769129181156, -74.01136333930609)"
33646988,06/20/2016 12:00:00 AM,Rodent,10014,MANHATTAN,40.7316434146769,-74.00302364194185,"(40.7316434146769, -74.00302364194185)"
33648026,06/20/2016 12:00:00 AM,Rodent,10029,MANHATTAN,40.78634829596376,-73.94243859659927,"(40.78634829596376, -73.94243859659927)"
33650211,06/21/2016 12:00:00 AM,Rodent,10006,MANHATTAN,40.70835596500144,-74.01481355517654,"(40.70835596500144, -74.01481355517654)"
33650406,06/21/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.76855567792603,-73.95170682798522,"(40.76855567792603, -73.95170682798522)"
33652337,06/21/2016 12:00:00 AM,Rodent,10075,MANHATTAN,40.77462876729128,-73.95601696428179,"(40.77462876729128, -73.95601696428179)"
33652423,06/21/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.74033232250893,-73.98467051779447,"(40.74033232250893, -73.98467051779447)"
33652879,06/21/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.80704779870351,-73.95168612413684,"(40.80704779870351, -73.95168612413684)"
33653649,06/21/2016 12:00:00 AM,Rodent,10040,MANHATTAN,40.85536800558172,-73.93410079491389,"(40.85536800558172, -73.93410079491389)"
33653683,06/21/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.791875622223984,-73.96979039582733,"(40.791875622223984, -73.96979039582733)"
33653700,06/21/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.76967737867243,-73.95633432397234,"(40.76967737867243, -73.95633432397234)"
33653759,06/22/2016 12:00:00 AM,Rodent,10013,MANHATTAN,40.71795221357276,-74.0094911310255,"(40.71795221357276, -74.0094911310255)"
33653861,06/21/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.866774268785754,-73.91996012612476,"(40.866774268785754, -73.91996012612476)"
33654961,06/21/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.753246026554784,-73.9822998224264,"(40.753246026554784, -73.9822998224264)"
33655849,06/21/2016 12:00:00 AM,Rodent,10012,MANHATTAN,40.72775960430624,-74.0022008521362,"(40.72775960430624, -74.0022008521362)"
33655903,06/22/2016 12:00:00 AM,Rodent,10013,MANHATTAN,40.717834148657325,-74.009967293263,"(40.717834148657325, -74.009967293263)"
33655905,06/21/2016 12:00:00 AM,Rodent,10019,MANHATTAN,40.76382498825322,-73.98783100006989,"(40.76382498825322, -73.98783100006989)"
33656046,06/21/2016 01:02:56 PM,Rodent,10012,MANHATTAN,40.7229205453091,-73.99589444610662,"(40.7229205453091, -73.99589444610662)"
33656047,06/21/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.80788104244887,-73.95564821014524,"(40.80788104244887, -73.95564821014524)"
33656793,06/21/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.77274728555175,-73.9463820700852,"(40.77274728555175, -73.9463820700852)"
33656801,06/21/2016 12:00:00 AM,Rodent,10065,MANHATTAN,40.76203508790857,-73.9614183388209,"(40.76203508790857, -73.9614183388209)"
33657050,06/21/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.81401442592594,-73.96023577645082,"(40.81401442592594, -73.96023577645082)"
33657193,06/21/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.77152354215533,-73.94727119554736,"(40.77152354215533, -73.94727119554736)"
33658224,06/22/2016 12:00:00 AM,Rodent,10023,MANHATTAN,40.77990599921626,-73.98439420957315,"(40.77990599921626, -73.98439420957315)"
33658263,06/22/2016 12:00:00 AM,Rodent,10014,MANHATTAN,40.73831859830857,-74.00471634360049,"(40.73831859830857, -74.00471634360049)"
33658264,06/22/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78080114259685,-73.95462993972396,"(40.78080114259685, -73.95462993972396)"
33658273,06/22/2016 12:00:00 AM,Rodent,10026,MANHATTAN,40.86117845534233,-73.92497751934397,"(40.86117845534233, -73.92497751934397)"
33659275,06/22/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.782840560281926,-73.9721632711726,"(40.782840560281926, -73.9721632711726)"
33659389,06/22/2016 12:00:00 AM,Rodent,10075,MANHATTAN,40.77211939086943,-73.95425676686548,"(40.77211939086943, -73.95425676686548)"
33660336,06/22/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.76963342311596,-73.95622965631675,"(40.76963342311596, -73.95622965631675)"
33660339,06/22/2016 12:00:00 AM,Rodent,10014,MANHATTAN,40.735730281473025,-74.00506978221362,"(40.735730281473025, -74.00506978221362)"
33660360,06/22/2016 12:00:00 AM,Rodent,10012,MANHATTAN,40.72930766256897,-73.99891398052075,"(40.72930766256897, -73.99891398052075)"
33661493,06/22/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.80610607332811,-73.93945589237026,"(40.80610607332811, -73.93945589237026)"
33661514,06/22/2016 12:00:00 AM,Rodent,10036,MANHATTAN,40.75700361799111,-73.98252622484942,"(40.75700361799111, -73.98252622484942)"
33661580,06/23/2016 12:00:00 AM,Rodent,10030,MANHATTAN,40.816736245665695,-73.93919332698901,"(40.816736245665695, -73.93919332698901)"
33662360,06/22/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.821895249919486,-73.94825377768946,"(40.821895249919486, -73.94825377768946)"
33662555,06/23/2016 12:00:00 AM,Rodent,10036,MANHATTAN,40.76396819903849,-73.99395700099811,"(40.76396819903849, -73.99395700099811)"
33663485,06/22/2016 12:00:00 AM,Rodent,10009,MANHATTAN,40.72743475929861,-73.98494047199883,"(40.72743475929861, -73.98494047199883)"
33663798,06/22/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.76844305107724,-73.9514866899638,"(40.76844305107724, -73.9514866899638)"
33664651,06/22/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.74033232250893,-73.98467051779447,"(40.74033232250893, -73.98467051779447)"
33664905,06/22/2016 12:00:00 AM,Rodent,10029,MANHATTAN,40.7906640962582,-73.94464501996956,"(40.7906640962582, -73.94464501996956)"
33664925,06/22/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.80284005395827,-73.96702583327352,"(40.80284005395827, -73.96702583327352)"
33664932,06/22/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.80593599517274,-73.93963665671151,"(40.80593599517274, -73.93963665671151)"
33664940,06/22/2016 12:00:00 AM,Rodent,10075,MANHATTAN,40.772480039191514,-73.9570834448278,"(40.772480039191514, -73.9570834448278)"
33664941,06/22/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78339998692637,-73.94720040387674,"(40.78339998692637, -73.94720040387674)"
33665904,06/22/2016 12:00:00 AM,Rodent,10065,MANHATTAN,40.76248785140805,-73.96106431263433,"(40.76248785140805, -73.96106431263433)"
33666058,06/22/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.78070652672433,-73.95847553139693,"(40.78070652672433, -73.95847553139693)"
33667058,06/23/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.823037482444164,-73.94922120583482,"(40.823037482444164, -73.94922120583482)"
33667059,06/23/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.793080498849626,-73.9695623249244,"(40.793080498849626, -73.9695623249244)"
33667061,06/23/2016 12:00:00 AM,Rodent,10005,MANHATTAN,40.70765368042931,-74.01153836466207,"(40.70765368042931, -74.01153836466207)"
33667256,06/23/2016 12:00:00 AM,Rodent,10019,MANHATTAN,40.762052731772094,-73.97580703998443,"(40.762052731772094, -73.97580703998443)"
33667257,06/23/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.79761016676655,-73.96312413246972,"(40.79761016676655, -73.96312413246972)"
33667278,06/23/2016 12:00:00 AM,Rodent,10030,MANHATTAN,40.81909486210257,-73.94092898010243,"(40.81909486210257, -73.94092898010243)"
33668127,06/23/2016 08:44:52 AM,Rodent,10013,MANHATTAN,40.71661590597004,-73.99961401343344,"(40.71661590597004, -73.99961401343344)"
33668181,06/23/2016 01:39:37 PM,Rodent,10065,MANHATTAN,40.76239187175712,-73.96132066672077,"(40.76239187175712, -73.96132066672077)"
33669276,06/23/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.80320657648027,-73.9325884205915,"(40.80320657648027, -73.9325884205915)"
33669278,06/23/2016 12:00:00 AM,Rodent,10128,MANHATTAN,,,
33669281,06/23/2016 11:13:47 PM,Rodent,10027,MANHATTAN,40.810939479514154,-73.95088855702403,"(40.810939479514154, -73.95088855702403)"
33669337,06/23/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.809907344295354,-73.94457121693016,"(40.809907344295354, -73.94457121693016)"
33669529,06/23/2016 02:51:15 PM,Rodent,10014,MANHATTAN,40.73052901370151,-74.00401942815446,"(40.73052901370151, -74.00401942815446)"
33670334,06/23/2016 12:00:00 AM,Rodent,10040,MANHATTAN,40.86031608665455,-73.92845987844848,"(40.86031608665455, -73.92845987844848)"
33670342,06/23/2016 12:00:00 AM,Rodent,10010,MANHATTAN,40.735390098491095,-73.975109480699,"(40.735390098491095, -73.975109480699)"
33670378,06/23/2016 12:00:00 AM,Rodent,10016,MANHATTAN,40.74057304785561,-73.97945235701471,"(40.74057304785561, -73.97945235701471)"
33670394,06/23/2016 12:00:00 AM,Rodent,10019,MANHATTAN,40.762052731772094,-73.97580703998443,"(40.762052731772094, -73.97580703998443)"
33671380,06/23/2016 11:22:41 PM,Rodent,10031,MANHATTAN,40.82217285195483,-73.9557759814701,"(40.82217285195483, -73.9557759814701)"
33671425,06/23/2016 12:00:00 AM,Rodent,10030,MANHATTAN,40.818922728490314,-73.94247906596591,"(40.818922728490314, -73.94247906596591)"
33671426,06/23/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.80994031914141,-73.94465066248691,"(40.80994031914141, -73.94465066248691)"
33671427,06/23/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.80992383172524,-73.94461093969869,"(40.80992383172524, -73.94461093969869)"
33671433,06/23/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.79487134430127,-73.96445110377068,"(40.79487134430127, -73.96445110377068)"
33671686,06/23/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.800366215673414,-73.93825835340147,"(40.800366215673414, -73.93825835340147)"
33671717,06/23/2016 12:00:00 AM,Rodent,10019,MANHATTAN,40.76547582985065,-73.9778165652183,"(40.76547582985065, -73.9778165652183)"
33672421,06/23/2016 12:00:00 AM,Rodent,10018,MANHATTAN,40.75116885401731,-73.98677580990558,"(40.75116885401731, -73.98677580990558)"
33672742,06/23/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.79305852478185,-73.96950093958341,"(40.79305852478185, -73.96950093958341)"
33672759,06/23/2016 12:00:00 AM,Rodent,10016,MANHATTAN,40.74068822294731,-73.97887493676983,"(40.74068822294731, -73.97887493676983)"
33673074,06/23/2016 12:00:00 AM,Rodent,10005,MANHATTAN,40.70653947266876,-74.00973837569391,"(40.70653947266876, -74.00973837569391)"
33673445,06/23/2016 07:30:29 PM,Rodent,10024,MANHATTAN,40.78352233663649,-73.97707752457858,"(40.78352233663649, -73.97707752457858)"
33673647,06/23/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.79546944187736,-73.97374349341943,"(40.79546944187736, -73.97374349341943)"
33673825,06/23/2016 02:13:00 PM,Rodent,10028,MANHATTAN,40.77657154184976,-73.95472669706575,"(40.77657154184976, -73.95472669706575)"
33673881,06/23/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.82156143682672,-73.95063141802162,"(40.82156143682672, -73.95063141802162)"
33674309,06/23/2016 12:00:00 AM,Rodent,10027,MANHATTAN,40.80924716196946,-73.95373274261046,"(40.80924716196946, -73.95373274261046)"
33674616,06/23/2016 09:32:16 AM,Rodent,10038,MANHATTAN,40.71178238135804,-73.99959600597562,"(40.71178238135804, -73.99959600597562)"
33675998,06/24/2016 12:00:00 AM,Rodent,10025,MANHATTAN,,,
33676013,06/24/2016 12:00:00 AM,Rodent,10009,MANHATTAN,40.72219717914684,-73.98099849049875,"(40.72219717914684, -73.98099849049875)"
33676040,06/24/2016 12:00:00 AM,Rodent,10033,MANHATTAN,40.84945402346545,-73.93561392389415,"(40.84945402346545, -73.93561392389415)"
33676094,06/24/2016 12:00:00 AM,Rodent,10029,MANHATTAN,40.79599918510024,-73.94915515044035,"(40.79599918510024, -73.94915515044035)"
33676235,06/24/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86434092197728,-73.92170927649623,"(40.86434092197728, -73.92170927649623)"
33676272,06/24/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.77419031838205,-73.9509734267097,"(40.77419031838205, -73.9509734267097)"
33676460,06/24/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.80140973782622,-73.96594656979163,"(40.80140973782622, -73.96594656979163)"
33676479,06/24/2016 12:00:00 AM,Rodent,10022,MANHATTAN,40.75500200840018,-73.96688348021081,"(40.75500200840018, -73.96688348021081)"
33676602,06/24/2016 12:00:00 AM,Rodent,10021,MANHATTAN,40.770552992853126,-73.95644566832154,"(40.770552992853126, -73.95644566832154)"
33678855,06/24/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.80619923227149,-73.93914877003411,"(40.80619923227149, -73.93914877003411)"
33679706,06/24/2016 12:00:00 AM,Rodent,10022,MANHATTAN,40.7606349951032,-73.96968183414626,"(40.7606349951032, -73.96968183414626)"
33679804,06/24/2016 12:00:00 AM,Rodent,10031,MANHATTAN,40.82344812097671,-73.95318089727137,"(40.82344812097671, -73.95318089727137)"
33679809,06/24/2016 12:00:00 AM,Rodent,10026,MANHATTAN,40.80253327934972,-73.95302584375533,"(40.80253327934972, -73.95302584375533)"
33680559,06/24/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.784896503171176,-73.94860752706235,"(40.784896503171176, -73.94860752706235)"
33681476,06/24/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86434092197728,-73.92170927649623,"(40.86434092197728, -73.92170927649623)"
33681591,06/24/2016 12:00:00 AM,Rodent,10014,MANHATTAN,40.7298565508983,-74.00395444237157,"(40.7298565508983, -74.00395444237157)"
33681715,06/24/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86434092197728,-73.92170927649623,"(40.86434092197728, -73.92170927649623)"
33682013,06/25/2016 12:00:00 AM,Rodent,10013,MANHATTAN,40.72354593675196,-74.01058506870447,"(40.72354593675196, -74.01058506870447)"
33682052,06/24/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.790527143029585,-73.97836436687973,"(40.790527143029585, -73.97836436687973)"
33682894,06/25/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.806443403799214,-73.93894265024906,"(40.806443403799214, -73.93894265024906)"
33683891,06/24/2016 12:00:00 AM,Rodent,10035,MANHATTAN,40.80282384503732,-73.93525809394956,"(40.80282384503732, -73.93525809394956)"
33684291,06/25/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.79008130221697,-73.97273444547737,"(40.79008130221697, -73.97273444547737)"
33684348,06/25/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.86434092197728,-73.92170927649623,"(40.86434092197728, -73.92170927649623)"
33684868,06/25/2016 12:00:00 AM,Rodent,10002,MANHATTAN,40.72046602059339,-73.98656544843917,"(40.72046602059339, -73.98656544843917)"
33687136,06/25/2016 12:00:00 AM,Rodent,10128,MANHATTAN,40.78339998692637,-73.94720040387674,"(40.78339998692637, -73.94720040387674)"
33687304,06/25/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.8691702542059,-73.91591135396577,"(40.8691702542059, -73.91591135396577)"
33687834,06/25/2016 12:00:00 AM,Rodent,10075,MANHATTAN,40.77108038983601,-73.9506471787056,"(40.77108038983601, -73.9506471787056)"
33688004,06/25/2016 12:00:00 AM,Rodent,10025,MANHATTAN,40.799455926594554,-73.96745009494249,"(40.799455926594554, -73.96745009494249)"
33688201,06/25/2016 12:00:00 AM,Rodent,10034,MANHATTAN,40.863789499864886,-73.922096766588,"(40.863789499864886, -73.922096766588)"
33690673,06/25/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.776450642452765,-73.95439460471228,"(40.776450642452765, -73.95439460471228)"
33691501,06/26/2016 12:00:00 AM,Rodent,10028,MANHATTAN,40.78098931745107,-73.9587064487359,"(40.78098931745107, -73.9587064487359)"
33691596,06/26/2016 12:00:00 AM,Rodent,10024,MANHATTAN,40.78855343697717,-73.97710107114727,"(40.78855343697717, -73.97710107114727)"
